PubChem,Structure,Name,IC50 (mM: Micro Molar),Reference,Inhibitor Target,Zinc ID
54682461,,Tipranavir,IC50=180.0+/- 20,https://www.biorxiv.org/content/10.1101/2020.05.23.112235v1.full.pdf,Mpro,
64143,,Nelfinavir,IC50=234.0+/- 15,https://www.biorxiv.org/content/10.1101/2020.05.23.112235v1.full.pdf,Mpro,
5735,,Zopiclone,IC50=349.0+/- 77,https://www.biorxiv.org/content/10.1101/2020.05.23.112235v1.full.pdf,Mpro,
5572,,Trihexyphenidyl,IC50=370.0+/- 53,https://www.biorxiv.org/content/10.1101/2020.05.23.112235v1.full.pdf,Mpro,
6918485,,Isavuconazole,IC50=438.0+/- 11,https://www.biorxiv.org/content/10.1101/2020.05.23.112235v1.full.pdf,Mpro,
92727,,Lopinavir,IC50=486.0+/- 2,https://www.biorxiv.org/content/10.1101/2020.05.23.112235v1.full.pdf,Mpro,
26987,,Clemastine,IC50=497.0+/- 148,https://www.biorxiv.org/content/10.1101/2020.05.23.112235v1.full.pdf,Mpro,
4167,,Metixene,IC50=635.0+/- 43,https://www.biorxiv.org/content/10.1101/2020.05.23.112235v1.full.pdf,Mpro,
60835,,Duloxetine,IC50=3047.0+/- 634,https://www.biorxiv.org/content/10.1101/2020.05.23.112235v1.full.pdf,Mpro,
51634,,Miglustat,EC50=41.0 +/- 22 mM,https://www.biorxiv.org/content/10.1101/2020.05.18.101691v1.full.pdf,Anti viral activity,
2577,,Carmofur,IC50=24.30 +/- 3.61 mM; CC50=133.37 +/- 12.23 mM,https://www.nature.com/articles/s41594-020-0440-6,Mpro,
76310291,,CHEMBL3109593,IC50: 0.4909 mM; CC50: 50 ,https://www.biorxiv.org/content/10.1101/2020.05.17.100404v1,Anti viral activity,
2719,,Chloroquine,IC50:1.03 mM; CC50: 50,https://www.biorxiv.org/content/10.1101/2020.05.17.100404v1,Anti viral activity,
45137165,,PBDNJ0803,IC50: 2.026 mM; CC50: 50,https://www.biorxiv.org/content/10.1101/2020.05.17.100404v1,Anti viral activity,
121304016,,remdesivir,IC50: 1.842 mM; CC50: 50,https://www.biorxiv.org/content/10.1101/2020.05.17.100404v1,Anti viral activity,
